-30,-30,6,251,6
-29,-30,3,253,6
-28,-30,0,255,5
-27,-30,0,255,5
-26,-30,0,255,5
-25,-30,0,255,3
-24,-30,6,252,3
-23,-30,4,253,1
-22,-30,1,254,5
-21,-30,0,255,5
-20,-30,0,255,8
-19,-30,0,255,6
-18,-30,1,254,5
-17,-30,3,254,1
-16,-30,0,255,1
-14,-30,0,255,3
-13,-30,0,255,2
-12,-30,0,255,1
-11,-30,2,255,1
-9,-30,1,254,3
-8,-30,8,251,9
-7,-30,36,230,35
-6,-30,97,194,81
-5,-30,0,19,0
-4,-30,28,6,0
-3,-30,44,0,0
-2,-30,46,0,0
-1,-30,47,0,0
0,-30,43,0,0
1,-30,38,0,0
2,-30,45,2,0
3,-30,24,1,0
4,-30,4,19,0
5,-30,96,187,84
6,-30,30,233,30
7,-30,0,255,5
12,-30,4,253,3
13,-30,4,252,6
14,-30,3,253,6
15,-30,0,255,3
18,-30,0,255,1
19,-30,0,255,3
20,-30,4,253,3
21,-30,4,254,0
24,-30,1,255,0
25,-30,1,255,0
26,-30,3,253,6
27,-30,1,253,10
28,-30,0,255,8
-30,-29,4,253,3
-29,-29,1,254,3
-28,-29,0,255,3
-27,-29,0,255,3
-26,-29,0,255,3
-25,-29,1,254,3
-24,-29,4,253,1
-23,-29,4,253,1
-22,-29,0,255,3
-21,-29,0,255,5
-20,-29,0,255,6
-19,-29,0,255,5
-18,-29,1,254,3
-17,-29,3,254,1
-16,-29,1,255,1
-13,-29,1,255,3
-11,-29,4,255,4
-10,-29,1,255,0
-9,-29,8,247,4
-8,-29,30,234,25
-7,-29,66,212,51
-6,-29,0,35,0
-5,-29,23,22,0
-4,-29,64,22,0
-3,-29,113,49,37
-2,-29,141,73,64
-1,-29,116,48,39
0,-29,95,35,24
1,-29,90,33,22
2,-29,69,12,3
3,-29,42,3,0
4,-29,23,17,0
5,-29,0,37,0
6,-29,56,211,45
7,-29,24,239,21
8,-29,9,253,8
9,-29,1,255,1
12,-29,4,253,3
13,-29,6,252,5
14,-29,4,252,6
15,-29,1,254,3
19,-29,0,255,1
20,-29,3,254,3
21,-29,3,254,3
22,-29,1,255,0
25,-29,1,255,0
26,-29,1,254,3
27,-29,1,254,5
28,-29,0,255,6
-27,-28,0,255,1
-26,-28,3,254,1
-25,-28,4,254,0
-24,-28,3,255,0
-23,-28,1,255,0
-22,-28,0,255,1
-21,-28,0,255,3
-20,-28,0,255,3
-19,-28,0,255,3
-18,-28,0,255,1
-17,-28,1,255,1
-16,-28,3,254,1
-15,-28,3,254,0
-14,-28,3,255,0
-13,-28,5,255,1
-12,-28,3,251,4
-11,-28,3,254,3
-9,-28,31,243,21
-8,-28,80,206,62
-7,-28,0,41,0
-6,-28,45,34,0
-5,-28,70,16,0
-4,-28,146,62,38
-3,-28,236,135,117
-2,-28,255,152,138
-1,-28,255,156,143
0,-28,237,140,123
1,-28,192,101,83
2,-28,115,29,14
3,-28,82,10,0
4,-28,57,7,0
5,-28,21,13,0
6,-28,0,43,0
7,-28,70,203,52
8,-28,28,243,17
10,-28,0,255,5
11,-28,0,255,6
12,-28,3,254,3
13,-28,7,252,1
14,-28,7,251,5
15,-28,4,253,3
20,-28,1,254,3
21,-28,1,254,6
22,-28,3,253,8
23,-28,1,254,6
24,-28,0,255,1
27,-28,1,255,0
28,-28,1,255,1
-28,-27,0,255,1
-27,-27,0,255,1
-26,-27,3,254,0
-25,-27,3,255,0
-24,-27,1,255,0
-22,-27,0,255,1
-21,-27,0,255,1
-16,-27,3,254,1
-15,-27,4,254,0
-14,-27,1,253,0
-13,-27,2,254,0
-12,-27,8,255,7
-11,-27,8,254,7
-10,-27,15,255,10
-9,-27,40,220,24
-8,-27,0,42,0
-7,-27,40,21,0
-6,-27,103,40,5
-5,-27,142,47,17
-4,-27,175,57,31
-3,-27,215,85,61
-2,-27,237,105,84
-1,-27,235,105,83
0,-27,232,108,84
1,-27,210,92,66
2,-27,146,36,11
3,-27,120,20,0
4,-27,126,39,20
5,-27,79,21,0
6,-27,30,15,0
7,-27,0,43,0
8,-27,59,216,41
9,-27,27,248,23
10,-27,3,251,14
11,-27,0,255,8
12,-27,1,255,1
13,-27,4,254,0
14,-27,6,252,3
15,-27,6,252,3
16,-27,1,255,0
20,-27,0,255,1
21,-27,0,255,6
22,-27,1,253,10
23,-27,3,252,10
24,-27,1,254,5
28,-27,1,255,0
-30,-26,0,255,5
-29,-26,0,255,5
-28,-26,0,255,6
-27,-26,0,255,3
-23,-26,0,255,3
-22,-26,0,255,5
-21,-26,0,255,3
-16,-26,1,255,0
-15,-26,1,255,0
-14,-26,1,255,0
-11,-26,4,246,2
-10,-26,24,240,19
-9,-26,73,214,50
-8,-26,13,24,0
-7,-26,103,37,15
-6,-26,209,114,86
-5,-26,223,104,72
-4,-26,227,86,56
-3,-26,240,89,58
-2,-26,236,89,55
-1,-26,220,78,42
0,-26,231,93,57
1,-26,218,84,47
2,-26,226,94,56
3,-26,220,96,62
4,-26,232,120,98
5,-26,199,106,89
6,-26,93,30,12
7,-26,26,18,0
8,-26,0,37,0
9,-26,61,205,55
10,-26,18,242,24
11,-26,0,255,5
14,-26,3,254,1
15,-26,3,254,3
16,-26,1,254,5
17,-26,0,255,1
21,-26,0,255,1
22,-26,0,255,6
23,-26,3,253,8
24,-26,4,252,6
25,-26,3,254,3
28,-26,0,255,1
-30,-25,0,254,8
-29,-25,0,255,6
-28,-25,0,255,5
-27,-25,0,255,3
-24,-25,0,255,1
-23,-25,0,255,3
-22,-25,0,255,5
-21,-25,0,255,3
-12,-25,8,254,7
-11,-25,27,241,23
-10,-25,57,214,45
-9,-25,0,47,0
-8,-25,51,17,0
-7,-25,138,42,28
-6,-25,207,92,61
-5,-25,217,84,43
-4,-25,244,88,50
-3,-25,241,78,37
-2,-25,232,74,29
-1,-25,242,90,43
0,-25,238,90,44
1,-25,235,90,43
2,-25,229,84,37
3,-25,233,94,51
4,-25,239,108,80
5,-25,215,100,81
6,-25,123,33,22
7,-25,58,5,0
8,-25,24,25,0
9,-25,0,49,0
10,-25,32,233,30
15,-25,1,255,1
16,-25,0,255,5
17,-25,0,255,3
21,-25,0,255,1
22,-25,0,255,5
